127.0.0.1 - - [02/Dec/2021:17:36:25 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:09:48 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/index.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:22 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:24 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:24 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:24 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:25 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:28 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:30 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:38 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:38 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/index.html HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/css/manutencao.css HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/css/general.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1069
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:46 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/geral/cabecalho.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:50 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_orcamento/ HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:50 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOrcamento.js HTTP/1.1" 200 10010
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:50 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:51 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:58 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:10:58 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:11:09 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [02/Dec/2021:18:11:09 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 265
